payment_id,order_id,cust_id,amount,status,refund_reason,refunded_at
1,1,10770,22033.22,Completed,,
2,3,3958,4314.36,Completed,,
3,4,27898,237279.22,Completed,,
4,6,20084,3882.28,Completed,,
5,7,42553,847.56,Refunded,Wrong Item,2025-08-08 00:00:00
6,8,37055,3455.06,Completed,,
7,9,13976,67490.76,Refunded,Wrong Item,2024-06-19 00:00:00
8,10,22261,48007.27,Completed,,
9,11,42410,1622.49,Completed,,
10,12,48872,449562.01,Completed,,
11,13,28199,82979.64,Completed,,
12,14,4905,165371.59,Failed,,
13,15,24140,153815.32,Completed,,
14,16,40080,1411.96,Completed,,
15,17,1505,5366.61,Completed,,
16,18,49598,3843.72,Completed,,
17,19,20766,41833.08,Completed,,
18,20,36851,28801.24,Completed,,
19,21,28461,67629.09,Completed,,
20,22,4826,4780.02,Completed,,
21,24,16124,21278.58,Completed,,
22,25,12065,38516.04,Completed,,
23,26,19561,8106.05,Completed,,
24,27,6435,51822.48,Completed,,
25,28,6469,405780.05,Completed,,
26,29,9222,54147.12,Completed,,
27,32,37437,12153.33,Completed,,
28,33,253,48255.23,Completed,,
29,34,49939,10663.78,Completed,,
30,35,2313,41921.55,Completed,,
31,36,9009,110426.78,Completed,,
32,37,40984,213648.05,Failed,,
33,38,37050,89695.01,Completed,,
34,39,31713,55082.79,Completed,,
35,40,31378,7844.78,Completed,,
36,41,12184,255766.21,Completed,,
37,42,27335,186253.64,Completed,,
38,43,37730,55113.1,Completed,,
39,44,46428,2843.1,Completed,,
40,45,32843,7618.14,Completed,,
41,46,3659,34178.88,Completed,,
42,47,30667,1308.11,Completed,,
43,48,31046,72008.96,Completed,,
44,49,18723,5797.91,Failed,,
45,50,14650,69040.14,Failed,,
46,51,28266,111933.22,Completed,,
47,52,48769,5300.86,Completed,,
48,53,12480,93845.34,Completed,,
49,54,41922,234370.91,Completed,,
50,55,39457,9773.97,Completed,,
51,56,9858,57587.97,Completed,,
52,57,219,3997.24,Completed,,
53,58,6470,10814.75,Completed,,
54,59,46316,77013.38,Completed,,
55,60,47321,6482.04,Refunded,Wrong Item,2026-02-10 00:00:00
56,61,1411,16319.76,Completed,,
57,62,21624,17927.14,Completed,,
58,63,10398,52895.15,Completed,,
59,65,46590,19288.3,Completed,,
60,66,36212,14605.65,Completed,,
61,67,500,333592.4,Refunded,Wrong Item,2024-07-19 00:00:00
62,68,8674,3929.76,Completed,,
63,69,38628,1731.36,Completed,,
64,70,10695,69148.38,Completed,,
65,71,14339,44195.58,Completed,,
66,72,14749,14753.54,Completed,,
67,73,43610,80883.48,Completed,,
68,74,48052,38770.26,Completed,,
69,75,23716,67408.33,Failed,,
70,76,8174,128630.7,Failed,,
71,77,2420,67391.69,Completed,,
72,78,32916,8952.32,Completed,,
73,79,5689,86067.2,Completed,,
74,80,37952,77367.18,Completed,,
75,81,5901,64429.46,Completed,,
76,82,48700,2962.78,Completed,,
77,83,34161,106149.87,Completed,,
78,84,45913,404963.05,Completed,,
79,85,4395,1518.15,Failed,,
80,86,32190,90938.85,Completed,,
81,87,398,143302.37,Completed,,
82,88,37654,16260.54,Completed,,
83,90,11512,465750.68,Failed,,
84,91,32346,6248.21,Completed,,
85,92,32706,10678.96,Completed,,
86,93,276,9941.33,Completed,,
87,94,23659,115259.07,Completed,,
88,95,12957,2870.71,Completed,,
89,96,39406,26293.93,Completed,,
90,97,23808,52145.04,Completed,,
91,98,24892,465.82,Completed,,
92,99,189,17564.61,Completed,,
93,100,40809,397459.32,Failed,,
94,101,1690,4521.36,Completed,,
95,102,39870,7717.43,Completed,,
96,103,44821,42671.07,Completed,,
97,105,43488,36501.03,Completed,,
98,106,20337,34783.22,Completed,,
99,107,24549,1249.82,Completed,,
100,108,35610,18177.28,Completed,,
101,109,5019,119424.34,Completed,,
102,110,26116,28663.9,Completed,,
103,111,16279,736050.3,Completed,,
104,112,2236,144035.53,Completed,,
105,113,18879,401679.51,Completed,,
106,114,25493,198973.05,Completed,,
107,115,14166,9031.4,Completed,,
108,116,47724,22950.41,Completed,,
109,117,41088,3834.93,Completed,,
110,118,44772,121514.43,Completed,,
111,119,18814,58530.96,Completed,,
112,120,34650,22616.07,Completed,,
113,121,39033,17622.64,Completed,,
114,122,24727,2041.26,Completed,,
115,124,962,953.07,Completed,,
116,125,14966,7450.08,Completed,,
117,126,41664,226335.88,Refunded,Defective,2025-09-01 00:00:00
118,128,45002,21646.43,Completed,,
119,129,48686,87627.97,Completed,,
120,130,45589,43373.92,Completed,,
121,131,32561,60765.08,Completed,,
122,132,2471,145982.65,Completed,,
123,133,3727,495068.97,Completed,,
124,134,40055,10745.74,Completed,,
125,135,37872,3812.32,Failed,,
126,136,16556,42606.12,Completed,,
127,137,30883,236873.18,Refunded,Size issue,2026-02-26 00:00:00
128,138,20971,70480.89,Completed,,
129,139,13338,1083.73,Completed,,
130,140,6840,229723.81,Completed,,
131,141,6779,419851.7,Completed,,
132,142,29476,127899.28,Failed,,
133,143,30005,1243.59,Failed,,
134,144,21775,16686.6,Completed,,
135,145,29634,1749.84,Completed,,
136,146,19564,58225.3,Failed,,
137,147,42595,24492.12,Completed,,
138,148,14432,239759.37,Completed,,
139,149,5171,5025.42,Completed,,
140,150,23397,467205.85,Completed,,
141,151,11646,55530.2,Completed,,
142,152,8844,7915.54,Completed,,
143,154,19819,40637.3,Completed,,
144,155,32787,49175.72,Completed,,
145,156,42191,326851.78,Completed,,
146,158,44456,33703.93,Completed,,
147,159,39139,81418.43,Completed,,
148,160,25096,26186.21,Completed,,
149,161,1675,454598.33,Completed,,
150,162,14518,100888.87,Completed,,
151,163,19293,63097.37,Completed,,
152,164,23409,135341.59,Completed,,
153,165,49898,104990.73,Completed,,
154,166,13230,2966.68,Failed,,
155,167,5527,110772.86,Completed,,
156,168,26671,71330.96,Completed,,
157,169,35866,53534.92,Completed,,
158,170,28293,64226.33,Completed,,
159,171,86,1854.86,Refunded,Not liked,2025-06-09 00:00:00
160,172,13108,139260.13,Completed,,
161,173,43328,221832.76,Completed,,
162,174,22207,80962.84,Completed,,
163,175,14606,19225.76,Completed,,
164,176,23687,108231.15,Completed,,
165,177,7989,131481.56,Completed,,
166,178,20895,61538.34,Completed,,
167,179,19337,14370.43,Completed,,
168,180,31167,81600.58,Completed,,
169,181,12936,54846.42,Completed,,
170,182,4613,95517.38,Completed,,
171,183,17324,111004.05,Failed,,
172,184,7213,38674.58,Completed,,
173,185,7142,47648.42,Completed,,
174,186,12048,12777.61,Completed,,
175,187,20287,117979.11,Completed,,
176,188,27316,4626.02,Completed,,
177,189,4099,45571.6,Completed,,
178,190,17563,44591.57,Failed,,
179,191,9901,4060.3,Completed,,
180,192,13735,754818.18,Completed,,
181,193,27605,52209.38,Completed,,
182,194,10979,33564.74,Completed,,
183,195,19439,27329.8,Failed,,
184,196,4145,285810.4,Completed,,
185,197,22472,25670.96,Completed,,
186,198,44845,8935.02,Completed,,
187,199,26717,28415.61,Completed,,
188,200,22267,39233.18,Completed,,
189,201,10474,144753.14,Completed,,
190,202,14501,22715.71,Completed,,
191,203,49104,141387.66,Completed,,
192,204,32066,367533.4,Completed,,
193,205,36767,17528.44,Completed,,
194,206,12288,145167.85,Completed,,
195,207,34150,6560.89,Completed,,
196,208,26110,265915.94,Completed,,
197,210,16818,2441.88,Completed,,
198,211,47240,203971.89,Completed,,
199,212,13928,199970.82,Completed,,
200,214,39022,71275.61,Completed,,
201,215,37924,27591.69,Completed,,
202,216,18872,108545.49,Failed,,
203,217,28520,144159.82,Completed,,
204,218,25614,174147.48,Refunded,Size issue,2025-11-09 00:00:00
205,220,44198,4865.33,Completed,,
206,221,19726,21406.56,Completed,,
207,222,23250,23510.16,Completed,,
208,223,7768,39414.97,Failed,,
209,224,19241,10792.4,Completed,,
210,225,32101,84555.2,Completed,,
211,226,39757,3882.28,Completed,,
212,228,29873,23193.1,Completed,,
213,231,36441,32539.57,Completed,,
214,232,6599,37661.25,Completed,,
215,233,41336,35105.4,Failed,,
216,234,29180,11790.1,Completed,,
217,235,31269,19525.96,Completed,,
218,236,36773,219738.62,Completed,,
219,237,8379,1557.41,Refunded,Defective,2025-04-06 00:00:00
220,239,47922,305173.28,Completed,,
221,240,47804,288923.29,Completed,,
222,243,36709,5809.95,Completed,,
223,244,44005,17908.14,Completed,,
224,245,20022,430881.06,Completed,,
225,246,33782,37627.44,Refunded,Size issue,2024-07-03 00:00:00
226,247,31288,33530.16,Completed,,
227,248,21543,33283.42,Failed,,
228,249,21978,128178.6,Completed,,
229,250,11597,511658.71,Completed,,
230,251,35688,11600.8,Completed,,
231,252,25831,17409.02,Completed,,
232,253,29229,137834.5,Completed,,
233,254,44245,256743.71,Completed,,
234,255,28872,7680.34,Completed,,
235,256,43452,15355.42,Completed,,
236,257,19736,33908.64,Failed,,
237,258,46823,87163.96,Completed,,
238,259,14600,104613.71,Failed,,
239,260,8213,7190.16,Completed,,
240,261,15215,82752.05,Completed,,
241,262,16612,49847.03,Completed,,
242,263,13321,325933.44,Refunded,Defective,2024-01-27 00:00:00
243,264,23733,107532.01,Completed,,
244,265,32753,48159.01,Completed,,
245,266,49015,34450.81,Completed,,
246,267,49078,284875.8,Completed,,
247,268,21732,140096.51,Completed,,
248,269,12594,815.9,Failed,,
249,270,39754,55973.64,Completed,,
250,271,18722,2222.08,Completed,,
251,272,6720,12645.16,Failed,,
252,273,9864,89377.44,Refunded,Changed mind,2025-09-19 00:00:00
253,274,22329,23515.97,Failed,,
254,275,10177,214626.89,Failed,,
255,276,45656,84839.74,Completed,,
256,277,25240,20065.89,Completed,,
257,278,40744,33590.94,Completed,,
258,279,33612,7513.17,Refunded,Not liked,2025-03-09 00:00:00
259,280,43993,91527.96,Completed,,
260,281,19906,10585.74,Completed,,
261,282,28514,98554.96,Failed,,
262,283,20563,23743.11,Completed,,
263,284,43742,22280.4,Completed,,
264,285,5941,36847.82,Completed,,
265,286,7234,24685.72,Completed,,
266,287,14577,110146.51,Completed,,
267,289,4071,93813.45,Completed,,
268,290,1096,113571.48,Completed,,
269,291,36872,64714.28,Failed,,
270,292,23665,115780.37,Completed,,
271,293,2893,4725.63,Completed,,
272,294,43658,119500.35,Completed,,
273,295,44810,12707.88,Completed,,
274,296,2706,65729.94,Completed,,
275,297,27780,7069.9,Completed,,
276,298,37384,194127.44,Refunded,Size issue,2025-11-08 00:00:00
277,299,42794,6501.94,Completed,,
278,300,36551,96210.55,Completed,,
279,301,28881,209748.14,Completed,,
280,302,32766,3873.3,Completed,,
281,303,49475,12811.67,Completed,,
282,304,27216,95890.29,Failed,,
283,305,30409,92965.58,Refunded,Size issue,2025-04-13 00:00:00
284,306,35847,67714.44,Completed,,
285,307,31407,11440.36,Completed,,
286,308,14215,24442.62,Completed,,
287,309,38868,25198.49,Completed,,
288,310,31712,41042.14,Completed,,
289,311,31333,21583.88,Failed,,
290,312,21819,20126.77,Completed,,
291,313,35893,308112.39,Completed,,
292,314,27254,316080.14,Refunded,Defective,2025-11-11 00:00:00
293,315,4816,5971.2,Completed,,
294,316,45524,63938.35,Completed,,
295,317,19220,100266.87,Completed,,
296,318,12621,31938.09,Completed,,
297,319,28488,36097.61,Completed,,
298,320,20192,177188.35,Refunded,Defective,2025-10-24 00:00:00
299,321,354,117734.91,Completed,,
300,322,47430,7569.7,Failed,,
301,323,8676,3702.1,Completed,,
302,324,40476,214771.24,Completed,,
303,325,48906,223192.92,Completed,,
304,326,10162,12673.83,Completed,,
305,327,9924,13360.9,Completed,,
306,329,46329,125358.6,Completed,,
307,330,39655,27005.68,Completed,,
308,331,15891,20537.72,Completed,,
309,332,40218,37499.7,Completed,,
310,333,39082,21168.73,Completed,,
311,334,2657,59515.05,Completed,,
312,335,25598,103104.51,Completed,,
313,336,40246,222027.32,Completed,,
314,338,29147,26851.47,Failed,,
315,339,4635,7831.04,Completed,,
316,340,36861,29515.47,Completed,,
317,342,39987,13665.41,Completed,,
318,343,30448,24214.08,Completed,,
319,345,1477,25190.08,Completed,,
320,346,19088,33905.99,Completed,,
321,347,49978,28517.52,Completed,,
322,348,41174,36076.43,Completed,,
323,349,43186,61567.44,Completed,,
324,350,31692,478148.6,Completed,,
325,351,16629,264337.22,Completed,,
326,352,48483,67421.04,Completed,,
327,353,1548,4527.27,Completed,,
328,354,33152,319849.79,Completed,,
329,355,5351,13096.77,Refunded,Size issue,2025-07-22 00:00:00
330,356,11569,7069.08,Completed,,
331,357,42872,23681.5,Failed,,
332,358,11478,50546.86,Completed,,
333,359,14407,26241.9,Completed,,
334,360,13703,92976.98,Completed,,
335,361,22468,89768.96,Completed,,
336,362,44279,3990.42,Completed,,
337,363,43754,11248.51,Completed,,
338,364,48150,3110.64,Completed,,
339,365,44616,11339.88,Completed,,
340,366,20533,61586.45,Completed,,
341,367,49649,13287.86,Completed,,
342,368,45354,300716.66,Completed,,
343,369,2917,204360.25,Completed,,
344,372,32925,16175.04,Failed,,
345,373,12297,65421.7,Completed,,
346,374,11227,142546.93,Completed,,
347,375,21254,19209.32,Completed,,
348,376,26171,47211.69,Completed,,
349,377,48664,78575.68,Completed,,
350,378,19913,70577.38,Completed,,
351,379,36031,4234.1,Completed,,
352,380,25577,29297.43,Completed,,
353,381,9367,23563.37,Completed,,
354,382,1631,94098.92,Completed,,
355,383,15895,5641.56,Completed,,
356,384,31478,1429.54,Completed,,
357,385,33413,157733.76,Completed,,
358,386,5114,381652.64,Refunded,Wrong Item,2024-05-23 00:00:00
359,387,44759,29822.34,Failed,,
360,388,39454,13230.16,Completed,,
361,389,36522,20393.76,Completed,,
362,390,13183,6702.27,Completed,,
363,391,27721,130262.35,Completed,,
364,392,15406,28624.09,Completed,,
365,393,22959,103821.59,Completed,,
366,394,25071,105190.26,Refunded,Size issue,2025-04-09 00:00:00
367,395,42954,27689.12,Completed,,
368,396,36818,22632.54,Completed,,
369,397,15825,24604.12,Completed,,
370,398,10513,39445.17,Failed,,
371,399,2161,3222.7,Completed,,
372,400,35685,863.46,Completed,,
373,401,38508,104025.96,Refunded,Not liked,2026-02-25 00:00:00
374,402,34154,13864.95,Refunded,Defective,2024-03-20 00:00:00
375,403,45777,38879.3,Completed,,
376,404,8842,33921.37,Failed,,
377,405,39533,5560.56,Completed,,
378,406,46173,115174.93,Completed,,
379,407,35417,225641.5,Completed,,
380,408,4856,37287.6,Completed,,
381,409,23219,12998.71,Completed,,
382,410,2840,15347.26,Completed,,
383,411,41197,172511.17,Completed,,
384,412,18891,87020.8,Refunded,Not liked,2024-11-20 00:00:00
385,413,21983,4505.04,Completed,,
386,414,6283,47352.29,Completed,,
387,415,4494,1063.84,Refunded,Wrong Item,2024-11-01 00:00:00
388,416,11981,92248.06,Completed,,
389,417,321,22084.01,Completed,,
390,418,24305,93447.45,Completed,,
391,419,43266,267381.14,Completed,,
392,420,14376,45603.27,Completed,,
393,421,17807,13820.04,Completed,,
394,422,21389,170583.72,Completed,,
395,424,41499,1301.91,Completed,,
396,425,16304,2118.42,Completed,,
397,426,10590,7217.11,Completed,,
398,427,33372,30242.59,Completed,,
399,428,1459,154590.48,Completed,,
400,429,19084,11187.65,Completed,,
401,430,10442,436665.81,Completed,,
402,431,47928,125344.68,Completed,,
403,432,3854,92447.31,Completed,,
404,433,388,121651.12,Completed,,
405,434,16014,29462.55,Completed,,
406,435,40261,29638.92,Completed,,
407,436,5695,35095.64,Completed,,
408,437,45471,37480.5,Completed,,
409,439,5707,2402.34,Completed,,
410,440,22451,66325.02,Completed,,
411,441,40764,563110.45,Completed,,
412,442,34495,23253.21,Completed,,
413,443,11930,322118.74,Completed,,
414,444,39233,158671.49,Completed,,
415,445,25278,22368.59,Completed,,
416,446,48535,80867.38,Completed,,
417,447,2364,59503.82,Completed,,
418,448,23722,32139.52,Completed,,
419,449,319,103303.23,Failed,,
420,450,39959,27949.17,Completed,,
421,451,47151,25183.25,Completed,,
422,452,48069,139142.95,Completed,,
423,453,31386,282119.2,Completed,,
424,454,37917,105532.86,Completed,,
425,455,24279,37925.67,Completed,,
426,456,35275,299243.82,Completed,,
427,457,41593,65035.3,Completed,,
428,458,13016,273286.9,Completed,,
429,459,39431,122648.76,Failed,,
430,460,37318,121093.55,Completed,,
431,461,3543,5439.49,Completed,,
432,462,19031,132.29,Completed,,
433,463,42228,41655.39,Completed,,
434,464,27320,20975.67,Completed,,
435,465,1182,163604.16,Completed,,
436,466,27996,1689.6,Completed,,
437,467,39171,133037.13,Completed,,
438,468,33343,1370.88,Failed,,
439,469,23799,8565.78,Completed,,
440,470,3578,25450.14,Completed,,
441,471,43514,27960.49,Completed,,
442,472,14795,2240.21,Completed,,
443,474,10302,19223.42,Completed,,
444,475,38272,99683.02,Completed,,
445,477,14261,3504.22,Completed,,
446,478,12643,10978.92,Completed,,
447,479,42090,263162.43,Completed,,
448,480,21342,114389.82,Completed,,
449,481,42627,337745.81,Failed,,
450,482,4155,2399.56,Completed,,
451,483,5163,76130.47,Completed,,
452,484,28943,33748.61,Completed,,
453,485,32251,116821.2,Completed,,
454,486,26486,60160.25,Completed,,
455,487,12563,39102.68,Failed,,
456,488,31669,106535.5,Completed,,
457,489,28084,12843.68,Completed,,
458,490,41168,177231.41,Completed,,
459,491,46696,8576.85,Completed,,
460,492,33311,16385.61,Completed,,
461,493,1252,59849.75,Completed,,
462,494,19227,13819.45,Completed,,
463,496,2312,111773.05,Completed,,
464,497,2745,64937.55,Completed,,
465,498,3502,17064.0,Completed,,
466,499,34761,20632.91,Completed,,
467,500,22190,24694.5,Completed,,
468,501,45880,63837.73,Failed,,
469,503,3028,11587.56,Completed,,
470,504,293,22782.55,Completed,,
471,505,12679,50221.95,Completed,,
472,506,3553,135371.9,Completed,,
473,507,46613,12392.6,Completed,,
474,508,35010,38087.21,Completed,,
475,509,20484,83306.26,Completed,,
476,510,40658,365532.66,Completed,,
477,511,3778,222500.8,Completed,,
478,512,7436,5659.4,Completed,,
479,513,19071,1049.44,Completed,,
480,514,32166,148825.8,Completed,,
481,515,3639,28105.56,Failed,,
482,516,44705,107.25,Completed,,
483,517,49954,34864.0,Completed,,
484,518,8218,84884.78,Completed,,
485,519,48150,10482.1,Refunded,Size issue,2024-01-10 00:00:00
486,520,40679,6622.03,Completed,,
487,521,27369,32475.16,Completed,,
488,522,29439,33535.21,Completed,,
489,523,31127,81011.08,Failed,,
490,524,1549,6292.51,Completed,,
491,525,28642,24212.65,Completed,,
492,526,29625,47082.12,Refunded,Wrong Item,2025-09-29 00:00:00
493,528,10619,35610.36,Completed,,
494,529,1262,118.03,Completed,,
495,530,17630,34249.25,Completed,,
496,531,2764,84007.42,Completed,,
497,532,4325,15864.2,Completed,,
498,533,13171,147555.68,Completed,,
499,534,33250,31292.04,Failed,,
500,535,35464,4049.12,Completed,,
501,536,5710,72429.71,Refunded,Size issue,2026-02-18 00:00:00
502,537,10945,140345.23,Failed,,
503,538,32055,85922.13,Completed,,
504,539,7818,147250.87,Completed,,
505,540,10890,7220.3,Failed,,
506,541,19963,13583.86,Completed,,
507,542,39403,20852.13,Completed,,
508,543,27173,9021.99,Failed,,
509,544,33319,55311.2,Completed,,
510,545,34959,36473.79,Completed,,
511,546,24285,144979.62,Completed,,
512,547,1664,5432.15,Completed,,
513,548,40451,21728.67,Completed,,
514,549,44951,51376.97,Completed,,
515,550,34511,3483.69,Completed,,
516,551,46526,277582.22,Completed,,
517,552,23694,20176.33,Completed,,
518,553,47822,214093.77,Completed,,
519,554,37903,115127.29,Completed,,
520,555,22883,11359.05,Completed,,
521,557,9562,38065.48,Completed,,
522,558,27151,314497.7,Completed,,
523,559,21797,32153.66,Completed,,
524,560,14292,208391.19,Completed,,
525,561,49765,4523.01,Completed,,
526,562,20113,79364.15,Failed,,
527,563,11392,40126.23,Completed,,
528,564,14876,390017.49,Completed,,
529,565,48269,15990.9,Completed,,
530,566,14788,21572.9,Completed,,
531,567,46447,152557.02,Refunded,Defective,2024-12-20 00:00:00
532,568,10654,8751.76,Completed,,
533,569,38596,105813.64,Completed,,
534,570,23807,5301.34,Completed,,
535,571,21079,217146.9,Completed,,
536,572,13945,3299.45,Failed,,
537,573,5662,2521.21,Completed,,
538,574,30488,26379.02,Completed,,
539,575,17174,204125.21,Refunded,Size issue,2024-07-31 00:00:00
540,576,4570,202396.98,Completed,,
