order_id,cust_id,store_id,order_date,order_status,gross_total,discount_amount,net_total,payment_mode_id
1,10770,133,2024-05-02,Out for Delivery,22033.22,0.0,22033.22,7
2,11061,169,2024-09-22,Failed,300772.0,0.0,300772.0,1
3,3958,116,2025-11-24,Delivered,4314.36,0.0,4314.36,8
4,27898,61,2026-02-20,Delivered,237279.22,0.0,237279.22,7
5,33879,178,2024-12-08,Delivered,43836.23,209.5,43626.73,1
6,20084,14,2024-11-02,Processing,3882.28,0.0,3882.28,8
7,42553,166,2025-07-25,Returned,847.56,0.0,847.56,4
8,37055,42,2025-07-28,Delivered,3455.06,0.0,3455.06,2
9,13976,36,2024-06-05,Returned,67490.76,0.0,67490.76,1
10,22261,34,2024-02-26,Delivered,48007.27,0.0,48007.27,9
11,42410,19,2025-07-04,Delivered,1622.49,0.0,1622.49,4
12,48872,39,2025-09-07,Out for Delivery,449562.01,0.0,449562.01,9
13,28199,200,2024-12-04,Delivered,82979.64,0.0,82979.64,7
14,4905,42,2024-08-24,Failed,168717.69,3346.1,165371.59,6
15,24140,36,2025-04-29,Out for Delivery,153815.32,0.0,153815.32,1
16,40080,114,2024-02-17,Delivered,1411.96,0.0,1411.96,5
17,1505,95,2024-11-27,Processing,5366.61,0.0,5366.61,7
18,49598,5,2025-02-07,Delivered,3843.72,0.0,3843.72,8
19,20766,146,2025-02-28,Delivered,41892.91,59.83,41833.08,2
20,36851,104,2026-02-02,Delivered,28801.24,0.0,28801.24,2
21,28461,27,2025-07-25,Delivered,85551.94,17922.85,67629.09,7
22,4826,107,2026-02-14,Delivered,4780.02,0.0,4780.02,3
23,44081,70,2025-03-04,Cancelled,140380.35,0.0,140380.35,1
24,16124,92,2024-08-03,Delivered,22649.52,1370.94,21278.58,7
25,12065,21,2025-02-11,Delivered,38516.04,0.0,38516.04,8
26,19561,178,2025-03-24,Delivered,8106.05,0.0,8106.05,7
27,6435,41,2024-06-05,Delivered,52377.35,554.87,51822.48,2
28,6469,165,2025-03-27,Delivered,421342.13,15562.08,405780.05,2
29,9222,55,2025-05-12,Shipped,54147.12,0.0,54147.12,1
30,2072,176,2024-06-29,Processing,15099.23,337.35,14761.88,1
31,3365,82,2025-12-19,Delivered,213672.73,0.0,213672.73,1
32,37437,14,2024-07-17,Shipped,12153.33,0.0,12153.33,6
33,253,187,2024-01-05,Delivered,48255.23,0.0,48255.23,4
34,49939,182,2024-05-18,Delivered,10663.78,0.0,10663.78,6
35,2313,62,2025-08-21,Shipped,41921.55,0.0,41921.55,5
36,9009,28,2024-12-12,Delivered,111732.21,1305.43,110426.78,1
37,40984,39,2026-02-04,Failed,213648.05,0.0,213648.05,6
38,37050,26,2024-04-23,Delivered,89695.01,0.0,89695.01,5
39,31713,134,2026-01-25,Delivered,57922.6,2839.81,55082.79,5
40,31378,122,2025-09-02,Processing,7844.78,0.0,7844.78,2
41,12184,158,2024-02-05,Shipped,280976.97,25210.76,255766.21,3
42,27335,142,2026-02-09,Delivered,244289.46,58035.82,186253.64,1
43,37730,53,2025-01-14,Delivered,55113.1,0.0,55113.1,5
44,46428,82,2024-08-20,Delivered,2843.1,0.0,2843.1,7
45,32843,186,2025-03-10,Shipped,7618.14,0.0,7618.14,5
46,3659,136,2025-05-09,Delivered,34178.88,0.0,34178.88,3
47,30667,59,2024-10-21,Delivered,1308.11,0.0,1308.11,4
48,31046,103,2025-11-20,Delivered,72008.96,0.0,72008.96,3
49,18723,141,2024-03-05,Cancelled,5797.91,0.0,5797.91,6
50,14650,176,2025-11-20,Cancelled,91514.93,22474.79,69040.14,4
51,28266,98,2024-10-15,Delivered,128014.17,16080.95,111933.22,9
52,48769,169,2024-03-13,Processing,5300.86,0.0,5300.86,1
53,12480,194,2025-03-09,Shipped,93845.34,0.0,93845.34,3
54,41922,9,2025-04-22,Delivered,235741.52,1370.61,234370.91,1
55,39457,120,2025-05-25,Delivered,10866.61,1092.64,9773.97,6
56,9858,95,2024-03-21,Shipped,61883.22,4295.25,57587.97,2
57,219,192,2024-11-06,Delivered,3997.24,0.0,3997.24,4
58,6470,187,2024-01-08,Delivered,10814.75,0.0,10814.75,6
59,46316,26,2025-05-25,Delivered,77598.58,585.2,77013.38,9
60,47321,51,2026-02-06,Returned,8257.5,1775.46,6482.04,7
61,1411,162,2025-10-05,Out for Delivery,16319.76,0.0,16319.76,4
62,21624,150,2024-11-24,Delivered,17927.14,0.0,17927.14,3
63,10398,52,2025-01-12,Delivered,60314.19,7419.04,52895.15,1
64,14620,13,2025-04-30,Shipped,14383.01,0.0,14383.01,1
65,46590,159,2025-09-20,Delivered,24110.37,4822.07,19288.3,6
66,36212,138,2025-12-21,Delivered,14605.65,0.0,14605.65,9
67,500,9,2024-07-06,Returned,349502.54,15910.14,333592.4,1
68,8674,24,2025-08-19,Delivered,3929.76,0.0,3929.76,7
69,38628,112,2024-09-06,Delivered,1731.36,0.0,1731.36,4
70,10695,38,2026-02-21,Delivered,69148.38,0.0,69148.38,7
71,14339,116,2025-02-07,Delivered,44569.2,373.62,44195.58,4
72,14749,6,2024-10-25,Delivered,14753.54,0.0,14753.54,4
73,43610,79,2025-04-29,Delivered,100197.35,19313.87,80883.48,2
74,48052,96,2025-10-24,Out for Delivery,38770.26,0.0,38770.26,3
75,23716,50,2025-01-26,Cancelled,69426.59,2018.26,67408.33,9
76,8174,53,2024-09-04,Cancelled,128630.7,0.0,128630.7,5
77,2420,11,2025-03-23,Delivered,67391.69,0.0,67391.69,1
78,32916,85,2025-12-10,Delivered,12789.03,3836.71,8952.32,4
79,5689,184,2024-04-05,Shipped,94492.17,8424.97,86067.2,2
80,37952,136,2025-10-28,Delivered,77367.18,0.0,77367.18,5
81,5901,162,2024-09-23,Delivered,83687.31,19257.85,64429.46,5
82,48700,127,2024-02-19,Delivered,2962.78,0.0,2962.78,6
83,34161,174,2025-11-27,Delivered,106149.87,0.0,106149.87,3
84,45913,174,2024-09-27,Delivered,405488.58,525.53,404963.05,4
85,4395,142,2026-02-22,Cancelled,1518.15,0.0,1518.15,9
86,32190,82,2024-01-27,Delivered,101151.3,10212.45,90938.85,9
87,398,124,2025-12-02,Delivered,143302.37,0.0,143302.37,2
88,37654,17,2024-07-29,Shipped,17125.12,864.58,16260.54,8
89,12871,114,2025-08-25,Delivered,15523.2,3880.8,11642.4,1
90,11512,20,2024-10-11,Cancelled,465750.68,0.0,465750.68,9
91,32346,146,2025-07-08,Processing,6248.21,0.0,6248.21,4
92,32706,186,2024-12-26,Delivered,10678.96,0.0,10678.96,6
93,276,46,2024-01-20,Processing,12426.66,2485.33,9941.33,8
94,23659,151,2025-02-15,Shipped,115259.07,0.0,115259.07,8
95,12957,69,2024-06-03,Processing,2870.71,0.0,2870.71,6
96,39406,90,2025-01-04,Shipped,26911.9,617.97,26293.93,7
97,23808,199,2025-07-17,Delivered,52145.04,0.0,52145.04,3
98,24892,33,2025-05-06,Delivered,465.82,0.0,465.82,7
99,189,75,2024-11-20,Out for Delivery,17564.61,0.0,17564.61,4
100,40809,92,2025-12-07,Failed,397459.32,0.0,397459.32,3
101,1690,175,2025-11-18,Delivered,4521.36,0.0,4521.36,6
102,39870,191,2025-01-04,Out for Delivery,8314.78,597.35,7717.43,1
103,44821,134,2025-07-04,Processing,44260.87,1589.8,42671.07,3
104,5875,156,2025-04-13,Delivered,377985.87,39813.03,338172.84,1
105,43488,86,2026-02-26,Delivered,38108.46,1607.43,36501.03,3
106,20337,170,2025-08-10,Delivered,34783.22,0.0,34783.22,8
107,24549,35,2024-11-18,Delivered,1249.82,0.0,1249.82,9
108,35610,31,2024-09-15,Processing,19846.76,1669.48,18177.28,7
109,5019,49,2024-11-07,Processing,119424.34,0.0,119424.34,2
110,26116,67,2025-01-23,Processing,29953.93,1290.03,28663.9,2
111,16279,143,2025-12-16,Delivered,736050.3,0.0,736050.3,5
112,2236,200,2025-06-24,Delivered,144035.53,0.0,144035.53,6
113,18879,20,2024-11-21,Delivered,406039.38,4359.87,401679.51,2
114,25493,92,2025-03-07,Delivered,200135.04,1161.99,198973.05,1
115,14166,50,2025-08-01,Out for Delivery,10248.25,1216.85,9031.4,6
116,47724,165,2024-07-05,Processing,22950.41,0.0,22950.41,1
117,41088,193,2025-08-18,Delivered,3834.93,0.0,3834.93,9
118,44772,118,2024-03-19,Processing,122467.04,952.61,121514.43,1
119,18814,198,2024-07-10,Shipped,58530.96,0.0,58530.96,2
120,34650,31,2024-04-12,Delivered,22912.44,296.37,22616.07,9
121,39033,5,2025-06-01,Delivered,17622.64,0.0,17622.64,5
122,24727,78,2024-12-18,Out for Delivery,2041.26,0.0,2041.26,7
123,15695,22,2025-01-03,Delivered,116090.21,16423.53,99666.68,1
124,962,165,2025-08-27,Delivered,953.07,0.0,953.07,3
125,14966,195,2025-07-27,Delivered,7450.08,0.0,7450.08,8
126,41664,73,2025-08-20,Returned,226335.88,0.0,226335.88,8
127,40800,43,2024-08-27,Returned,368.3,0.0,368.3,1
128,45002,92,2024-05-02,Delivered,21646.43,0.0,21646.43,3
129,48686,18,2025-05-10,Delivered,87627.97,0.0,87627.97,8
130,45589,34,2025-04-19,Processing,43373.92,0.0,43373.92,6
131,32561,106,2025-02-07,Delivered,60765.08,0.0,60765.08,4
132,2471,150,2025-07-01,Delivered,145982.65,0.0,145982.65,5
133,3727,88,2025-10-18,Delivered,506098.73,11029.76,495068.97,6
134,40055,169,2024-05-07,Processing,11364.2,618.46,10745.74,7
135,37872,108,2024-05-15,Cancelled,4235.91,423.59,3812.32,3
136,16556,65,2024-03-15,Processing,47050.5,4444.38,42606.12,6
137,30883,39,2026-02-13,Returned,236873.18,0.0,236873.18,8
138,20971,30,2025-05-06,Out for Delivery,96044.36,25563.47,70480.89,4
139,13338,174,2025-10-11,Delivered,1354.66,270.93,1083.73,5
140,6840,71,2024-03-22,Delivered,229723.81,0.0,229723.81,8
141,6779,125,2024-05-02,Delivered,420035.5,183.8,419851.7,6
142,29476,43,2025-08-16,Cancelled,127899.28,0.0,127899.28,1
143,30005,164,2024-10-29,Cancelled,1243.59,0.0,1243.59,3
144,21775,176,2026-02-26,Delivered,16734.61,48.01,16686.6,1
145,29634,56,2024-05-19,Delivered,1749.84,0.0,1749.84,5
146,19564,165,2024-01-12,Failed,58225.3,0.0,58225.3,2
147,42595,187,2024-09-02,Shipped,24492.12,0.0,24492.12,6
148,14432,139,2026-01-04,Delivered,239759.37,0.0,239759.37,8
149,5171,81,2024-02-09,Delivered,5025.42,0.0,5025.42,4
150,23397,192,2024-11-02,Out for Delivery,467588.34,382.49,467205.85,8
151,11646,156,2024-11-21,Delivered,55530.2,0.0,55530.2,6
152,8844,121,2025-08-10,Delivered,7915.54,0.0,7915.54,8
153,41533,154,2025-05-14,Processing,355921.65,2978.98,352942.67,1
154,19819,169,2025-05-03,Shipped,43088.49,2451.19,40637.3,2
155,32787,118,2024-04-20,Delivered,49339.32,163.6,49175.72,3
156,42191,40,2024-12-10,Delivered,342443.18,15591.4,326851.78,7
157,47207,89,2024-01-09,Processing,74540.36,14908.07,59632.29,1
158,44456,36,2025-10-20,Shipped,33703.93,0.0,33703.93,9
159,39139,141,2025-02-13,Delivered,81418.43,0.0,81418.43,1
160,25096,82,2024-05-26,Delivered,28451.92,2265.71,26186.21,9
161,1675,85,2024-01-09,Delivered,454598.33,0.0,454598.33,9
162,14518,55,2025-02-21,Shipped,100888.87,0.0,100888.87,3
163,19293,30,2025-04-09,Delivered,63427.23,329.86,63097.37,9
164,23409,95,2025-07-12,Delivered,160070.06,24728.47,135341.59,1
165,49898,39,2025-10-31,Shipped,104990.73,0.0,104990.73,2
166,13230,152,2024-07-15,Failed,4238.11,1271.43,2966.68,2
167,5527,120,2024-04-20,Delivered,138707.7,27934.84,110772.86,2
168,26671,41,2024-06-21,Delivered,72617.61,1286.65,71330.96,8
169,35866,154,2025-10-11,Delivered,53534.92,0.0,53534.92,9
170,28293,11,2025-05-12,Delivered,67281.26,3054.93,64226.33,9
171,86,36,2025-06-06,Returned,1854.86,0.0,1854.86,8
172,13108,137,2025-05-12,Out for Delivery,139260.13,0.0,139260.13,9
173,43328,196,2024-08-16,Delivered,221832.76,0.0,221832.76,5
174,22207,133,2024-10-12,Out for Delivery,82096.22,1133.38,80962.84,9
175,14606,147,2026-02-23,Shipped,19225.76,0.0,19225.76,5
176,23687,14,2025-06-24,Delivered,108231.15,0.0,108231.15,9
177,7989,155,2025-10-03,Processing,131481.56,0.0,131481.56,4
178,20895,8,2024-11-25,Processing,61538.34,0.0,61538.34,9
179,19337,179,2024-06-16,Delivered,14370.43,0.0,14370.43,3
180,31167,91,2024-03-01,Delivered,93007.08,11406.5,81600.58,7
181,12936,90,2025-05-31,Shipped,59883.26,5036.84,54846.42,5
182,4613,96,2024-12-30,Processing,95517.38,0.0,95517.38,3
183,17324,181,2026-01-06,Failed,111004.05,0.0,111004.05,4
184,7213,91,2025-03-15,Delivered,39014.34,339.76,38674.58,2
185,7142,171,2024-06-09,Delivered,55079.88,7431.46,47648.42,9
186,12048,177,2024-04-17,Delivered,14092.24,1314.63,12777.61,9
187,20287,17,2024-09-29,Delivered,124152.11,6173.0,117979.11,8
188,27316,31,2024-04-03,Processing,4845.65,219.63,4626.02,5
189,4099,73,2024-04-11,Shipped,45571.6,0.0,45571.6,5
190,17563,14,2025-06-24,Cancelled,44591.57,0.0,44591.57,6
191,9901,42,2026-01-26,Delivered,4274.0,213.7,4060.3,9
192,13735,186,2024-06-20,Delivered,760508.97,5690.79,754818.18,9
193,27605,155,2024-10-02,Delivered,52209.38,0.0,52209.38,9
194,10979,4,2024-10-28,Out for Delivery,33564.74,0.0,33564.74,4
195,19439,55,2026-01-17,Cancelled,27759.82,430.02,27329.8,5
196,4145,173,2024-05-20,Delivered,286638.63,828.23,285810.4,5
197,22472,191,2026-02-21,Delivered,25670.96,0.0,25670.96,4
198,44845,91,2024-04-26,Delivered,8935.02,0.0,8935.02,8
199,26717,166,2025-01-22,Delivered,28415.61,0.0,28415.61,6
200,22267,170,2025-01-06,Processing,39233.18,0.0,39233.18,5
201,10474,99,2024-12-27,Delivered,145761.24,1008.1,144753.14,7
202,14501,124,2024-12-10,Shipped,22715.71,0.0,22715.71,9
203,49104,199,2026-01-02,Delivered,141387.66,0.0,141387.66,3
204,32066,59,2025-05-02,Delivered,367533.4,0.0,367533.4,5
205,36767,123,2024-01-30,Delivered,17528.44,0.0,17528.44,2
206,12288,154,2025-05-22,Delivered,146319.12,1151.27,145167.85,2
207,34150,64,2024-03-15,Shipped,7029.41,468.52,6560.89,1
208,26110,169,2025-04-08,Delivered,265915.94,0.0,265915.94,1
209,45054,182,2025-01-17,Failed,232869.06,0.0,232869.06,1
210,16818,114,2025-11-01,Shipped,2872.8,430.92,2441.88,7
211,47240,143,2025-10-20,Out for Delivery,203971.89,0.0,203971.89,4
212,13928,186,2025-09-01,Delivered,210495.6,10524.78,199970.82,5
213,25871,80,2025-04-22,Processing,35941.01,0.0,35941.01,1
214,39022,34,2026-01-05,Delivered,72334.31,1058.7,71275.61,4
215,37924,176,2024-05-23,Delivered,27591.69,0.0,27591.69,6
216,18872,138,2024-09-26,Failed,118197.63,9652.14,108545.49,3
217,28520,170,2024-07-26,Processing,144159.82,0.0,144159.82,3
218,25614,3,2025-11-06,Returned,176219.2,2071.72,174147.48,7
219,5269,105,2024-07-03,Delivered,138218.28,7383.88,130834.4,1
220,44198,189,2024-03-27,Delivered,4865.33,0.0,4865.33,9
221,19726,32,2024-09-28,Delivered,21406.56,0.0,21406.56,6
222,23250,51,2024-06-24,Delivered,25373.92,1863.76,23510.16,5
223,7768,37,2024-03-14,Cancelled,39414.97,0.0,39414.97,3
224,19241,29,2024-05-24,Delivered,10792.4,0.0,10792.4,5
225,32101,115,2024-09-30,Delivered,84555.2,0.0,84555.2,9
226,39757,199,2024-08-21,Delivered,3882.28,0.0,3882.28,6
227,24910,71,2025-09-05,Failed,4638.7,79.43,4559.27,1
228,29873,12,2024-03-27,Shipped,23193.1,0.0,23193.1,5
229,42594,168,2024-04-15,Shipped,476537.61,169.37,476368.24,1
230,27206,36,2025-10-31,Delivered,300953.73,1417.48,299536.25,1
231,36441,134,2026-01-25,Delivered,34655.34,2115.77,32539.57,1
232,6599,2,2025-08-08,Shipped,40228.39,2567.14,37661.25,6
233,41336,62,2024-01-03,Failed,37886.94,2781.54,35105.4,9
234,29180,129,2024-03-30,Shipped,13206.34,1416.24,11790.1,8
235,31269,142,2025-05-19,Out for Delivery,25416.83,5890.87,19525.96,9
236,36773,53,2025-03-06,Processing,219738.62,0.0,219738.62,3
237,8379,8,2025-03-30,Returned,1557.41,0.0,1557.41,3
238,19295,147,2024-06-29,Delivered,147051.75,32550.84,114500.91,1
239,47922,100,2025-12-06,Out for Delivery,305475.67,302.39,305173.28,1
240,47804,181,2024-11-29,Delivered,288923.29,0.0,288923.29,8
241,7934,5,2024-09-03,Out for Delivery,20040.85,2414.4,17626.45,1
242,15598,8,2025-11-21,Delivered,466593.56,40208.9,426384.66,1
243,36709,148,2025-07-15,Delivered,5809.95,0.0,5809.95,7
244,44005,185,2024-08-11,Delivered,21842.25,3934.11,17908.14,1
245,20022,80,2024-12-29,Delivered,430881.06,0.0,430881.06,6
246,33782,89,2024-06-29,Returned,37627.44,0.0,37627.44,3
247,31288,154,2024-07-31,Shipped,33530.16,0.0,33530.16,9
248,21543,82,2025-02-20,Cancelled,33283.42,0.0,33283.42,8
249,21978,176,2024-10-25,Delivered,134672.57,6493.97,128178.6,5
250,11597,51,2025-05-27,Delivered,611397.99,99739.28,511658.71,6
251,35688,28,2025-01-08,Delivered,13648.0,2047.2,11600.8,6
252,25831,67,2025-03-10,Processing,17817.31,408.29,17409.02,8
253,29229,136,2024-02-02,Delivered,137834.5,0.0,137834.5,3
254,44245,96,2024-08-01,Delivered,301401.41,44657.7,256743.71,6
255,28872,188,2025-12-10,Out for Delivery,7680.34,0.0,7680.34,3
256,43452,41,2024-11-28,Delivered,15355.42,0.0,15355.42,5
257,19736,46,2026-01-27,Failed,33908.64,0.0,33908.64,3
258,46823,88,2025-07-19,Delivered,87163.96,0.0,87163.96,5
259,14600,32,2024-12-13,Cancelled,122683.5,18069.79,104613.71,5
260,8213,102,2024-03-13,Out for Delivery,9085.29,1895.13,7190.16,2
261,15215,128,2025-09-15,Delivered,85792.6,3040.55,82752.05,6
262,16612,11,2025-11-10,Processing,49847.03,0.0,49847.03,6
263,13321,145,2024-01-19,Returned,325933.44,0.0,325933.44,4
264,23733,197,2025-02-04,Delivered,111287.19,3755.18,107532.01,4
265,32753,46,2025-10-24,Delivered,50085.56,1926.55,48159.01,4
266,49015,169,2025-08-09,Delivered,34450.81,0.0,34450.81,5
267,49078,195,2024-05-31,Delivered,288289.37,3413.57,284875.8,6
268,21732,181,2024-04-10,Out for Delivery,142602.01,2505.5,140096.51,7
269,12594,65,2025-10-18,Failed,815.9,0.0,815.9,4
270,39754,45,2025-06-04,Out for Delivery,55973.64,0.0,55973.64,2
271,18722,162,2024-07-21,Out for Delivery,2962.78,740.7,2222.08,7
272,6720,52,2024-05-15,Failed,12703.46,58.3,12645.16,7
273,9864,197,2025-09-08,Returned,89377.44,0.0,89377.44,4
274,22329,68,2024-11-08,Cancelled,23517.29,1.32,23515.97,1
275,10177,183,2025-03-08,Failed,214626.89,0.0,214626.89,1
276,45656,125,2024-05-09,Delivered,95638.63,10798.89,84839.74,1
277,25240,173,2024-04-17,Delivered,20245.56,179.67,20065.89,2
278,40744,76,2025-01-22,Out for Delivery,33590.94,0.0,33590.94,7
279,33612,8,2025-02-25,Returned,8113.96,600.79,7513.17,5
280,43993,24,2025-04-21,Out for Delivery,91527.96,0.0,91527.96,1
281,19906,132,2025-09-02,Delivered,10585.74,0.0,10585.74,4
282,28514,31,2025-08-27,Cancelled,98554.96,0.0,98554.96,7
283,20563,97,2025-06-18,Out for Delivery,23743.11,0.0,23743.11,3
284,43742,180,2024-12-18,Delivered,22280.4,0.0,22280.4,1
285,5941,135,2024-03-10,Delivered,38920.45,2072.63,36847.82,2
286,7234,193,2025-02-26,Delivered,24685.72,0.0,24685.72,5
287,14577,80,2024-08-04,Shipped,133337.21,23190.7,110146.51,6
288,9118,197,2024-12-08,Delivered,138643.75,0.0,138643.75,1
289,4071,191,2026-01-27,Delivered,93813.45,0.0,93813.45,9
290,1096,115,2025-09-23,Delivered,113571.48,0.0,113571.48,4
291,36872,43,2025-12-31,Cancelled,64848.48,134.2,64714.28,2
292,23665,182,2024-09-10,Delivered,115780.37,0.0,115780.37,2
293,2893,73,2024-12-31,Delivered,4725.63,0.0,4725.63,8
294,43658,46,2024-12-05,Delivered,121675.97,2175.62,119500.35,7
295,44810,42,2025-09-17,Delivered,12707.88,0.0,12707.88,5
296,2706,104,2024-08-06,Delivered,66173.48,443.54,65729.94,5
297,27780,187,2025-12-12,Processing,7069.9,0.0,7069.9,4
298,37384,112,2025-11-02,Returned,194127.44,0.0,194127.44,1
299,42794,120,2024-02-05,Delivered,6501.94,0.0,6501.94,7
300,36551,37,2025-09-10,Delivered,96210.55,0.0,96210.55,3
301,28881,28,2024-04-18,Out for Delivery,218325.74,8577.6,209748.14,9
302,32766,3,2024-04-13,Out for Delivery,3873.3,0.0,3873.3,4
303,49475,164,2026-02-24,Delivered,12811.67,0.0,12811.67,6
304,27216,39,2025-09-19,Cancelled,104903.01,9012.72,95890.29,4
305,30409,2,2025-04-07,Returned,94590.25,1624.67,92965.58,8
306,35847,134,2024-07-06,Out for Delivery,67714.44,0.0,67714.44,2
307,31407,43,2025-04-21,Delivered,11440.36,0.0,11440.36,9
308,14215,158,2025-07-25,Delivered,24442.62,0.0,24442.62,6
309,38868,97,2025-09-24,Out for Delivery,32113.99,6915.5,25198.49,9
310,31712,130,2024-06-24,Delivered,41344.01,301.87,41042.14,1
311,31333,143,2024-11-05,Cancelled,21583.88,0.0,21583.88,4
312,21819,114,2025-05-27,Delivered,25244.77,5118.0,20126.77,1
313,35893,200,2025-09-02,Delivered,308112.39,0.0,308112.39,4
314,27254,172,2025-11-05,Returned,316295.29,215.15,316080.14,4
315,4816,165,2024-08-22,Delivered,5971.2,0.0,5971.2,3
316,45524,10,2025-01-16,Delivered,63938.35,0.0,63938.35,1
317,19220,55,2024-10-24,Delivered,100266.87,0.0,100266.87,5
318,12621,36,2025-10-10,Delivered,31938.09,0.0,31938.09,9
319,28488,185,2025-01-02,Shipped,36097.61,0.0,36097.61,9
320,20192,25,2025-10-16,Returned,196875.94,19687.59,177188.35,5
321,354,175,2024-02-19,Delivered,117734.91,0.0,117734.91,5
322,47430,169,2026-01-11,Failed,9462.12,1892.42,7569.7,8
323,8676,16,2026-01-14,Delivered,3702.1,0.0,3702.1,8
324,40476,166,2024-01-25,Processing,215640.12,868.88,214771.24,6
325,48906,124,2025-08-06,Delivered,224131.59,938.67,223192.92,1
326,10162,129,2025-12-28,Shipped,12673.83,0.0,12673.83,8
327,9924,70,2025-08-19,Delivered,17814.54,4453.64,13360.9,1
