order_id,order_number,booking_id,customer_id,dealer_id,order_date,order_status,sales_executive_id,discount_id,total_amount,discount_amount,tax_amount,net_amount,payment_mode,finance_provider,created_at
1,ORD-00000001,3,1779,181,08-01-2024,Confirmed,157,NULL,1465364,15605.28,405932.44,1855691.16,Lease,Kotak Mahindra,52:17.9
2,ORD-00000002,4,2113,168,15-12-2025,Delivered,90,1,1535462,42177.45,418119.67,1911404.22,Loan,ICICI Bank,52:17.9
3,ORD-00000003,5,3134,152,24-11-2023,Delivered,736,4,2236369,149997.75,584183.95,2670555.2,Cash,Kotak Mahindra,52:17.9
4,ORD-00000004,6,1051,180,25-07-2024,Delivered,469,19,1011179,44145.65,270769.34,1237802.69,Lease,NULL,52:17.9
5,ORD-00000005,7,2769,183,27-03-2025,Delivered,550,NULL,1901059,36371.26,522112.57,2386800.31,Loan,HDFC Bank,52:17.9
6,ORD-00000006,8,1026,84,26-07-2024,Delivered,808,11,1378932,18698.6,380865.35,1741098.75,Lease,NULL,52:17.9
7,ORD-00000007,9,2669,122,16-02-2024,Confirmed,434,23,617146,42604.56,160871.6,735413.04,Cash,ICICI Bank,52:17.9
8,ORD-00000008,11,1807,189,30-03-2026,Delivered,157,25,1088883,6619.79,303033.7,1385296.91,EMI,NULL,52:17.9
9,ORD-00000009,13,2491,54,24-08-2024,Delivered,986,NULL,2490816,125740.91,662221.03,3027296.12,Loan,SBI,52:17.9
10,ORD-00000010,14,2478,91,14-08-2025,Confirmed,368,NULL,2438560,23069.19,676337.43,3091828.24,Lease,SBI,52:17.9
